sku,title,subtitle,description,price,compare_at_price,currency,category,sign,type,provider,provider_sku,image,tags,bundle_items
K-HOOD-STAR-SAGITTARIUS,Star Boys Sagittarius Hoodie,Archer cosmic hoodie,Archer cosmic hoodie,75.00,0,GBP,Star Boys,Sagittarius,kids,printify,PFY-BOYS-003,K-HOOD-STAR-SAGITTARIUS-image.webp,"zodiac,kids,hoodie,star boys",
K-TEE-STAR-GEMINI,Star Boys Gemini Tee,Twin explorer tee,Twin explorer tee,45.00,0,GBP,Star Boys,Gemini,kids,printify,PFY-BOYS-TEE-001,K-TEE-STAR-GEMINI-image.webp,"zodiac,kids,tee,star boys",
K-TEE-STAR-AQUARIUS,Star Boys Aquarius Tee,Water bearer star tee,Water bearer star tee,45.00,0,GBP,Star Boys,Aquarius,kids,printify,PFY-BOYS-TEE-002,K-TEE-STAR-AQUARIUS-image.webp,"zodiac,kids,tee,star boys",
H-ALTAR-CLOTH-ARIES,Aries Altar Cloth,Bold fire ritual cloth,A ritual altar cloth with a bold gold Aries glyph centered within a celestial border.,50.00,0,GBP,Home & Altar,,home,printify,PFY-HOME-001,H-ALTAR-CLOTH-ARIES-image.webp,"home,altar,ritual,aries",
H-ALTAR-CLOTH-TAURUS,Taurus Altar Cloth,Grounded earth ritual cloth,"A grounded, earthy-tone altar cloth featuring a gold Taurus zodiac symbol.",50.00,0,GBP,Home & Altar,,home,printify,PFY-HOME-002,H-ALTAR-CLOTH-TAURUS-image.webp,"home,altar,ritual,taurus",
H-ALTAR-CLOTH-LIBRA,Libra Altar Cloth,Balanced scales ritual cloth,A ceremonial altar cloth featuring balanced scales and cosmic gold detailing on soft fabric.,50.00,0,GBP,Home & Altar,,home,printify,PFY-HOME-003,H-ALTAR-CLOTH-LIBRA-image.webp,"home,altar,ritual,libra",
H-SELENE-INCENSE-DISH,Selene Incense Dish,Lunar mythology incense holder,"A luxury incense dish inspired by lunar mythology, featuring soft gold celestial patterns.",45.00,0,GBP,Home & Altar,,home,printify,PFY-HOME-004,H-SELENE-INCENSE-DISH-image.webp,"home,incense,lunar,ritual",
H-CELESTIAL-CUSHION,Celestial Cushion,Constellation plush cushion,A plush cushion decorated with subtle zodiac constellations in metallic gold.,60.00,0,GBP,Home & Altar,,home,gelato,GLT-HOME-001,H-CELESTIAL-CUSHION-image.webp,"home,cushion,zodiac",
H-STAR-MAP-PRINT-A3,A3 Star Map Print,Constellation fine art print,A high-detail star map print showing constellations in fine gold-ink linework.,40.00,0,GBP,Home & Altar,,home,gelato,GLT-ART-001,H-STAR-MAP-PRINT-A3-image.webp,"home,art,print,stars",
H-COSMIC-ALTAR-SET,Cosmic Altar Set,Complete celestial altar kit,"A complete celestial altar kit including a cloth, symbols, and ritual items in gold-tone design.",75.00,0,GBP,Home & Altar,,home,printify,PFY-HOME-005,H-COSMIC-ALTAR-SET-image.webp,"home,altar,ritual,set",
H-ZODIAC-WALL-ART-GOLD,Zodiac Gold Wall Art,Luxury framed zodiac wheel,A luxury framed artwork featuring an ornate gold zodiac wheel on deep cosmic background.,80.00,0,GBP,Home & Altar,,home,gelato,GLT-ART-002,H-ZODIAC-WALL-ART-GOLD-image.webp,"home,art,print,zodiac,framed",
H-TAPESTRY-MOON-PHASES,Moon Phases Tapestry,Lunar cycle wall tapestry,Lunar cycle wall tapestry,95.00,0,GBP,Home & Altar,,home,printify,PFY-HOME-006,H-TAPESTRY-MOON-PHASES-image.webp,"home,tapestry,moon,ritual",
H-CANDLE-HOLDERS-ZODIAC,Zodiac Candle Holders,Celestial symbol holders set,Celestial symbol holders set,55.00,0,GBP,Home & Altar,,home,manual,MANUAL-001,H-CANDLE-HOLDERS-ZODIAC-image.webp,"home,candle,zodiac,ritual",
D-MINI-BIRTH-READING,Mini Birth Chart Reading,Concise natal analysis,"Digital: A concise, AI-guided reading focusing on your natal Sun, Moon, and Ascendant positions.",19.00,0,GBP,Digital,,digital,digital,DIG-READ-001,D-MINI-BIRTH-READING-image.webp,"digital,reading,astrology",
D-FULL-NATAL-BLUEPRINT,Full Natal Blueprint,Comprehensive chart analysis,"Digital: A comprehensive, personalized analysis of all major planetary placements and aspects.",49.00,0,GBP,Digital,,digital,digital,DIG-READ-002,D-FULL-NATAL-BLUEPRINT-image.webp,"digital,reading,astrology",
D-SOLAR-RETURN-INSIGHTS,Solar Return Insights,Yearly predictive reading,Digital: A predictive reading focusing on themes and opportunities for your current solar year.,35.00,0,GBP,Digital,,digital,digital,DIG-READ-003,D-SOLAR-RETURN-INSIGHTS-image.webp,"digital,reading,astrology",
D-YEAR-AHEAD-MEDITATION,Year Ahead Meditation,Guided ritual audio,Digital: A guided meditation and ritual guide tailored to your astrological forecast.,29.00,0,GBP,Digital,,digital,digital,DIG-AUDIO-001,D-YEAR-AHEAD-MEDITATION-image.webp,"digital,meditation,audio",
D-LUNAR-PHASE-GUIDE,Lunar Phase Guide PDF,Complete moon ritual guide,Complete moon ritual guide,15.00,0,GBP,Digital,,digital,digital,DIG-PDF-001,D-LUNAR-PHASE-GUIDE-image.webp,"digital,pdf,moon,ritual",
D-ZODIAC-COMPATIBILITY,Zodiac Compatibility Report,Relationship synastry analysis,Relationship synastry analysis,39.00,0,GBP,Digital,,digital,digital,DIG-READ-004,D-ZODIAC-COMPATIBILITY-image.webp,"digital,reading,compatibility",
B-ARIES-COMPLETE,Aries Complete Collection,Hoodie + Altar Cloth + Reading,Hoodie + Altar Cloth + Reading,169.00,199.00,GBP,Bundles,Aries,bundle,mixed,,B-ARIES-COMPLETE-image.webp,"bundle,zodiac,aries","A-HOOD-ARIES,H-ALTAR-CLOTH-ARIES,D-MINI-BIRTH-READING"
B-CELESTIAL-HOME-SET,Celestial Home Ritual Set,Altar Set + Cushion + Candles,Altar Set + Cushion + Candles,180.00,210.00,GBP,Bundles,,bundle,mixed,,B-CELESTIAL-HOME-SET-image.webp,"bundle,home,ritual","H-COSMIC-ALTAR-SET,H-CELESTIAL-CUSHION,H-CANDLE-HOLDERS-ZODIAC"
B-MOON-GIRL-STARTER,Moon Girls Starter Pack,Hoodie + Tee + Moon Guide,Hoodie + Tee + Moon Guide,129.00,145.00,GBP,Bundles,,bundle,mixed,,B-MOON-GIRL-STARTER-image.webp,"bundle,kids,moon girls","K-HOOD-MOON-ARIES,K-TEE-MOON-LEO,D-LUNAR-PHASE-GUIDE"
B-DIGITAL-WISDOM-PACK,Digital Wisdom Pack,All readings + meditation,All readings + meditation,120.00,150.00,GBP,Bundles,,bundle,digital,,B-DIGITAL-WISDOM-PACK-image.webp,"bundle,digital,readings","D-MINI-BIRTH-READING,D-FULL-NATAL-BLUEPRINT,D-SOLAR-RETURN-INSIGHTS,D-YEAR-AHEAD-MEDITATION"
B-COSMIC-COUPLE-SET,Cosmic Couple Set,2 Hoodies + Compatibility Report,2 Hoodies + Compatibility Report,269.00,309.00,GBP,Bundles,,bundle,mixed,,B-COSMIC-COUPLE-SET-image.webp,"bundle,apparel,couple","A-HOOD-ARIES,A-HOOD-LEO,D-ZODIAC-COMPATIBILITY"
